Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Instituição Beneficiária Macro;Chamada Divulgação;Modalidade Bolsa;Grande Área;Área;Qtd Bolsas
2014;Atendimento;Centro-Oeste;DF;Centro Gestor e Operacional do Sistema de Protecao da Amazonia;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Biológicas;Bioquímica;5
2014;Atendimento;Centro-Oeste;DF;Centro Gestor e Operacional do Sistema de Protecao da Amazonia;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Engenharias;Tecnologias Ambientais;1
2014;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Humanas;História;19
2014;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1
2014;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Exatas e da Terra;Ciência da Computação;19
2014;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Sociais Aplicadas;Desenho Industrial;1
2014;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Humanas;Educação;15
2014;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Não informado;Não informado;15
2014;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;2
2014;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Biológicas;Zoologia;1
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Engenharias;Engenharia Elétrica;469
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2013/2014 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Engenharias;Engenharia Elétrica;15
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;493
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Exatas e da Terra;Ciência da Computação;15
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Sênior - PDS;Pós-Doutorado Sênior;Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;1
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Ciências Agrárias;Tecnologia e Inovação para Agropecuária;12
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Ciências Biológicas;Biodiversidade e Recursos Naturais;2
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Ciências Biológicas;Biotecnologia;3
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Engenharias;Energia;1
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2014;Produtividade Desen. Tec. e Extensão Inovadora;Engenharias;Tecnologias Ambientais;1
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;17
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Agrárias;Engenharia Agrícola;2
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Agrárias;Zootecnia;4
2014;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ - 2014;Produtividade em Pesquisa;Ciências Biológicas;Biofísica;1
