Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Instituição Beneficiária Macro;Chamada Divulgação;Modalidade Bolsa;Grande Área;Área;Qtd Bolsas
2006;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Humanas;Psicologia;1
2006;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;1
2006;Atendimento;Centro-Oeste;DF;Conselho Nacional de Desenvolvimento Científico e Tecnológico;IC 99/1999;Iniciação Científica;Ciências Humanas;Psicologia;4
2006;Atendimento;Centro-Oeste;DF;Embrapa Cerrados;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT;Produtividade Desen. Tec. e Extensão Inovadora;Engenharias;Tecnologia e Inovação;2
2006;Atendimento;Centro-Oeste;DF;Embrapa Cerrados;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT;Produtividade Desen. Tec. e Extensão Inovadora;Engenharias;Tecnologia e Inovação;8
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;IC 99/2001;Iniciação Científica;Ciências Agrárias;Agronomia;328
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pesquisador Visitante - PV;Pesquisador Visitante;Ciências Agrárias;Agronomia;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Empresarial - PDI;Pós-Doutorado Empresarial;Ciências Agrárias;Agronomia;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Agrárias;Agronomia;6
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Agrárias;Engenharia Agrícola;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Agrárias;Zootecnia;3
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Biológicas;Bioquímica;2
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Biológicas;Genética;2
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Exatas e da Terra;Química;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Engenharias;Engenharia Sanitária;1
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;37
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Ciência e Tecnologia de Alimentos;2
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Engenharia Agrícola;2
2006;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa 10/2006;Produtividade em Pesquisa;Ciências Agrárias;Medicina Veterinária;3
