Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Instituição Beneficiária Macro;Chamada Divulgação;Modalidade Bolsa;Grande Área;Área;Qtd Bolsas
2015;Atendimento;Centro-Oeste;DF;Banco Central;Produtividade em Pesquisa - PQ 2015;Produtividade em Pesquisa;Ciências Exatas e da Terra;Ciência da Computação;1
2015;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Exatas e da Terra;Ciência da Computação;19
2015;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Sociais Aplicadas;Desenho Industrial;1
2015;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Não informado;Não informado;15
2015;Atendimento;Centro-Oeste;DF;Departamento de Policia Federal;Produtividade em Pesquisa - PQ 2015;Produtividade em Pesquisa;Ciências Exatas e da Terra;Física;1
2015;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;493
2015;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Chamada 2014/2016 do Programa Institucional de Bolsas de Iniciação em Desenvolvimento Tecnológico e Inovação - PIBITI;Iniciação Tecnológica;Ciências Exatas e da Terra;Ciência da Computação;15
2015;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2015;Produtividade Desen. Tec. e Extensão Inovadora;Ciências Agrárias;Tecnologia e Inovação para Agropecuária;11
2015;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ 2015;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;29
2015;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Produtividade em Pesquisa - PQ 2015;Produtividade em Pesquisa;Ciências Agrárias;Ciência e Tecnologia de Alimentos;2
