Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Instituição Beneficiária Macro;Chamada Divulgação;Modalidade Bolsa;Grande Área;Área;Qtd Bolsas
2011;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Bolsa de Iniciação Científica / Pibic 2010-2011;Iniciação Científica;Não informado;Não informado;15
2011;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Chamada para o Processo de Inscrição 2011/2012 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Engenharias;Engenharia Química;15
2011;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Bolsa de Iniciação Científica / Pibic 2010-2011;Iniciação Científica;Não informado;Não informado;15
2011;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;2
2011;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Ecologia;1
2011;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Chamada para o Processo de Inscrição 2011/2012 do Programa Institucional de Bolsas de Iniciação Científica - PIBIC;Iniciação Científica;Outra;Multidisciplinar;15
2011;Atendimento;Centro-Oeste;DF;Departamento de Policia Federal;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Exatas e da Terra;Física;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsa de Iniciação Científica / Pibic 2010-2011;Iniciação Científica;Não informado;Não informado;488
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsa de Iniciação em Desenvolvimento Tecnológico e Inovação / PIBIT 2010-2011;Iniciação Tecnológica;Não informado;Não informado;13
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;17
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Engenharia Agrícola;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;2
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Agrárias;Zootecnia;3
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Biofísica;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Bioquímica;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;4
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Ecologia;1
2011;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Bolsas de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT 2011;Produtividade em Pesquisa;Ciências Biológicas;Genética;1
