Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 11/2011 - Seleção Pública de Propostas de Cursos para Formação de Recursos Humanos em Biotecnologia - CBAB;Chamada CNPq N º 11/2011 - CBAB;Ciências Biológicas;Genética;1;0;54172;54172
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Argentina - CNPq/CONICET;Ciências Biológicas;Genética;1;0;70200;70200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Bélgica - CNPq/FNRS;Engenharias;Engenharia Biomédica;1;0;40954;40954
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Eslovênia - CNPq/MHEST;Ciências Agrárias;Agronomia;1;0;34900;34900
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Espanha - CNPq/CSIC;Ciências Agrárias;Agronomia;1;0;80000;80000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Itália - CNPq/CNR;Ciências Agrárias;Agronomia;1;0;55440;55440
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 72/2010;DFG;Ciências Biológicas;Zoologia;1;0;69858;69858
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 72/2010;DFG;Ciências Exatas e da Terra;Geociências;1;0;56800;56800
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ICMBio Nº 13/2011 - Pesquisa em Unidades de Conservação do Bioma Caatinga;Chamada  CNPq/ICMBio N º 13/2011;Ciências Agrárias;Agronomia;1;40080;67992;108072
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos Nº 18/2011 - Programa de Cooperação CNPq/MIT;Chamada de Projetos n° 18/2011;Engenharias;Engenharia Biomédica;2;118946;49264;168210
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos Nº 18/2011 - Programa de Cooperação CNPq/MIT;Chamada de Projetos n° 18/2011;Engenharias;Engenharia Elétrica;1;109014;25000;134014
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/ CNPq Nº 64/2010 - CI-Brasil 2010;Edital MCT/CNPq nº 64/2010 - CI-Brasil 2010;Engenharias;Microeletrônica;1;612000;0;612000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 73/2010 - JST - Japão;Edital MCT/CNPq nº 73/2010 - JST - Japão;Ciências Agrárias;Agronomia;1;61778;138520;200298
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências da Saúde;Farmácia;1;108000;0;108000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências da Saúde;Saúde Coletiva;1;218400;0;218400
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências Exatas e da Terra;Ciência da Computação;1;163200;0;163200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Engenharias;Engenharia de Produção;1;206700;0;206700
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Engenharias;Engenharia Elétrica;2;394800;0;394800
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CT-MineralCNPq Nº 44/2010;Edital nº 44/2010 - Chamada 1- Pesquisa, desenvolvimento tecnológico e inovação aplicados às linhas temáticas do Projeto Tendências Tecnológicas;Ciências Exatas e da Terra;Geociências;4;303840;779703;1083543
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/SETEC/CNPq Nº 09/2011 - Apoio a Incubadoras de Empresas;Chamada MCT/SETEC/CNPq nº 09/2011- Apoio a Incubadoras de Empresas;Engenharias;Engenharia Biomédica;1;0;161827;161827
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Antropologia;2;0;25948;25948
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Ciência Política;1;0;14840;14840
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Educação;1;0;17753;17753
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Filosofia;1;0;13000;13000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;História;1;0;5000;5000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Psicologia;2;0;30100;30100
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Sociologia;4;0;49643;49643
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Administração;1;0;13046;13046
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;1;0;13000;13000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Comunicação;2;0;21200;21200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Direito;2;0;21988;21988
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Economia;3;0;41422;41422
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;2;0;27933;27933
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Serviço Social;1;0;13000;13000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Lingüística, Letras e Artes;Artes;1;0;20000;20000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Lingüística, Letras e Artes;Lingüística;1;0;13001;13001
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI-CNPq / BBSRC-Reino Unido Nº 26/2011;Chamada CNPq/BBSRC n° 26/2011 - Segurança Alimentar e Bioenergia e Biotecnologia Industrial,;Ciências Agrárias;Agronomia;1;143493;77900;221393
