Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 12/2013 Cooperação MCTI-CNPq/DBT (Índia);Chamada N° 12/2013 - Cooperação MCTI-CNPq/DBT (ÍNDIA);Ciências Biológicas;Bioquímica;1;160019;50068;210087
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 17/2013 - Cooperação Internacional - Acordos Bilaterais;Argentina;Ciências Exatas e da Terra;Geociências;1;0;47000;47000
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 17/2013 - Cooperação Internacional - Acordos Bilaterais;Cuba;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1;0;90000;90000
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 17/2013 - Cooperação Internacional - Acordos Bilaterais;França;Ciências Sociais Aplicadas;Demografia;1;88205;76000;164205
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 17/2013 - Cooperação Internacional - Acordos Bilaterais;México;Ciências Humanas;Psicologia;1;0;85000;85000
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 17/2013 - Cooperação Internacional - Acordos Bilaterais;Peru;Ciências Biológicas;Bioquímica;1;0;95800;95800
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 20/2013;Chamada 20/2013 - Doutorado (GD);Ciências Exatas e da Terra;Ciência da Computação;2;373536;0;373536
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/FWO Nº 52/2012 Programa de Cooperação entre o CNPq e a Fundação de Pesquisa Flandres (FWO) da Bélgica;Chamada CNPq/FWO N º 52/2012 Programa de Cooperação entre o CNPq e a Fundação de Pesquisa Flandres (FWO) da Bélgica;Ciências Biológicas;Bioquímica;1;116491;62500;178991
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/CAPES/CNPq/FAPs Nº 70/2013;Linha 1 - Bolsa de Atração de Jovens Talentos - BJT;Ciências Biológicas;Bioquímica;1;0;0;0
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/CAPES/CNPq/FAPs Nº 70/2013;Linha 1 - Bolsa de Atração de Jovens Talentos - BJT;Ciências Biológicas;Genética;1;0;0;0
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/CAPES/CNPq/FAPs Nº 70/2013;Linha 2 - Bolsa de Atração de Jovens Talentos - BJT;Ciências Agrárias;Agronomia;1;151700;30000;181700
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/CAPES/CNPq/FAPs Nº 70/2013;Linha 2 - Bolsa de Atração de Jovens Talentos - BJT;Ciências Agrárias;Zootecnia;1;273400;42878;316278
2013;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/CAPES/CNPq/FAPs Nº 70/2013;Linha 2 - Bolsa de Atração de Jovens Talentos - BJT;Ciências Biológicas;Bioquímica;3;483900;115000;598900
