Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq-SETEC/MEC Nº 17/2014 - Apoio a Projetos Cooperativos de Pesquisa Aplicada e de Extensão Tecnológica;Chamada CNPq-SETEC/MEC Nº 17/2014 - Linha 4: Soluções Inovadoras;Engenharias;Engenharia Civil;1;17796;19204;37000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências Biológicas;Microbiologia;1;0;256000;256000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências da Saúde;Medicina;1;0;110000;110000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ANVISA Nº 05/2014 - Pesquisas em Vigilância Sanitária;Chamada CNPq/Anvisa Nº 05/2014 - Pesquisas em Vigilância Sanitária;Ciências da Saúde;Saúde Coletiva;1;0;22570;22570
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MCTI/SEPIN Nº 12/2014 - Programa Start-Up Brasil;CHAMADA CNPQ/MCTI/SEPIN 12/2014 - PROGRAMA START-UP BRASIL;Ciências Exatas e da Terra;Ciência da Computação;2;398000;0;398000
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDA/SPM-PR Nº 11/2014 - Apoio à implantação e manutenção de Núcleos de Extensão em Desenvolvimento Territorial;CHAMADA CNPq/MDA/SPM-PR Nº 11/2014 - NÚCLEOS DE EXTENSÃO EM DESENVOLVIMENTO TERRITORIAL;Ciências Humanas;Sociologia;2;893760;508788;1402548
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Ciências Biológicas;Imunologia;1;64534;90000;154534
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Chamada CNPq/MS/SCTIE/DECIT/SVS/DST Nº 30/2014;Ciências Biológicas;Microbiologia;1;88033;164700;252733
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/Pandiá Nº 29/2014 - Programa Álvaro Alberto de Indução à Pesquisa em Segurança Internacional e Defesa Nacional;Chamada CNPq/Pandiá Nº 29/2014 - Programa Álvaro Alberto de Indução à Pesquisa em Segurança Internacional e Defesa Nacional;Ciências Humanas;Ciência Política;1;13200;92000;105200
2014;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/SETEC-MEC Nº 41/2014 - Programa Professores para o Futuro (Finlândia) II;CHAMADA CNPQ/SETEC-MEC Nº 41/2014 - PROGRAMA PROFESSORES PARA O FUTURO (FINLÂNDIA) II;Ciências Exatas e da Terra;Química;1;30565;0;30565
