Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Agronomia;10;96000;0;96000
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Zootecnia;2;19200;0;19200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Bioquímica;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Botânica;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Ecologia;2;15600;0;15600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Exatas e da Terra;Química;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Antropologia;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Ciência Política;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Psicologia;2;19200;0;19200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Sociais Aplicadas;Economia;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Civil;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia de Materiais e Metalúrgica;1;9600;0;9600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Mecânica;2;19200;0;19200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Sanitária;2;19200;0;19200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Agronomia;13;171600;0;171600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Engenharia Agrícola;2;26400;0;26400
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Medicina Veterinária;1;13200;0;13200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Zootecnia;4;52800;0;52800
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Botânica;1;13200;0;13200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;2;26400;0;26400
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Ecologia;3;39600;0;39600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Morfologia;1;13200;0;13200
