Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Antropologia;1;0;13986;13986
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Ciência Política;2;0;33054;33054
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Educação;1;0;11200;11200
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Filosofia;1;0;12000;12000
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Psicologia;2;0;26000;26000
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Administração;1;0;19978;19978
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Direito;1;0;13000;13000
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Economia;3;0;38683;38683
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Serviço Social;1;0;13500;13500
2009;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 02/2009;Edital MCT/CNPq 02/2009 - Ciências Humanas, Sociais e Sociais Aplicadas;Lingüística, Letras e Artes;Artes;1;0;9659;9659
